#{"t_start": 1765594231.536499, "env_id": "None"}
r,l,t
-67.20013,1000,460.80707
183.6003,1000,460.807078
42.201916,1000,460.807085
257.9921,1000,460.807091
796.1915,1000,460.807098
-115.39939,1000,460.807104
184.19983,1000,504.797357
239.40077,1000,504.797424
-93.99989,1000,504.797443
-86.59933,1000,504.797459
149.60094,1000,504.797474
10.201547,1000,504.797488
114.80202,1000,504.797503
674.7946,1000,504.797518
375.59326,1000,504.797532
-92.9999,1000,504.797546
-108.79948,1000,504.79756
113.40201,1000,504.797574
-55.400295,1000,504.797588
-12.400069,1000,504.797602
684.59595,1000,504.797616
252.79402,1000,504.797677
126.00166,1000,504.797701
294.39496,1000,504.797717
-39.200253,1000,504.797731
312.19067,1000,504.797745
122.602036,1000,504.79776
128.40033,1000,504.797774
670.5942,1000,504.797788
-125.9991,1000,504.797801
44.201008,1000,504.797815
98.40167,1000,504.797829
798.9913,1000,504.797843
80.40079,1000,504.797857
53.20176,1000,549.062211
795.39417,1000,549.06226
254.795,1000,549.062269
799.7936,1000,549.062276
202.00111,1000,549.062282
26.600544,1000,549.062288
202.39998,1000,549.062294
800.791,1000,549.062299
436.59094,1000,549.062305
553.9903,1000,549.062311
47.402287,1000,549.062316
163.40172,1000,549.06232
337.99734,1000,549.062326
669.7961,1000,549.062331
-28.999876,1000,549.062336
21.400173,1000,549.062341
667.59125,1000,549.062346
665.99,1000,549.062351
69.20152,1000,549.062355
800.19293,1000,549.06236
801.5914,1000,549.062365
797.19495,1000,549.06237
462.18927,1000,549.062375
24.60107,1000,549.062379
675.5945,1000,549.062385
124.20195,1000,549.062389
69.20186,1000,549.062394
-136.19907,1000,549.0624
670.79065,1000,581.96946
681.19543,1000,581.969508
154.2017,1000,581.969517
283.99487,1000,581.969523
94.40224,1000,581.969529
387.99557,1000,581.969534
383.99176,1000,581.969539
-145.59888,1000,581.969545
17.199934,1000,581.96955
672.7949,1000,581.969556
673.19336,1000,581.969561
303.79175,1000,581.969566
-110.59952,1000,581.969571
799.59265,1000,581.969576
329.79297,1000,581.969582
61.202477,1000,581.969587
111.60179,1000,581.969593
125.60173,1000,581.969598
359.39365,1000,581.969603
6.400772,1000,581.969608
