#{"t_start": 1765582597.4202473, "env_id": "None"}
r,l,t
805.4,1000,988.95611
-18.8,1000,990.831821
698.0,1000,992.89191
12.2,1000,995.008742
465.4,1000,997.478583
-57.6,1000,1001.531065
688.2,1000,1003.5706
118.6,1000,1005.547803
248.8,1000,1007.503914
701.2,1000,1009.483103
129.0,1000,1011.438656
389.6,1000,1013.359415
125.0,1000,1015.324569
705.4,1000,1019.219035
205.4,1000,1021.151978
549.0,1000,1023.124934
819.0,1000,1025.097444
224.0,1000,1026.970917
92.8,1000,1028.727889
215.8,1000,1030.565155
382.4,1000,1032.609326
817.6,1000,1036.622517
-97.6,1000,1038.542595
210.8,1000,1040.444734
172.2,1000,1042.420644
445.4,1000,1044.315384
-103.6,1000,1046.301108
691.0,1000,1048.302636
806.2,1000,1050.321452
-64.4,1000,1054.23014
308.8,1000,1056.119618
696.6,1000,1058.187078
455.4,1000,1060.204122
819.6,1000,1062.194918
699.8,1000,1064.180594
422.6,1000,1066.180181
-68.8,1000,1068.182126
829.2,1000,1072.114196
233.0,1000,1074.062363
587.8,1000,1076.004703
174.4,1000,1077.683857
363.8,1000,1079.71581
64.2,1000,1081.645097
529.4,1000,1083.560003
48.2,1000,1085.552084
79.0,1000,1089.468904
69.8,1000,1091.414528
694.2,1000,1093.428066
283.8,1000,1095.377735
12.0,1000,1097.347512
263.8,1000,1099.267488
-8.6,1000,1101.190651
308.8,1000,1102.959273
284.4,1000,1106.932388
-90.0,1000,1108.879063
810.6,1000,1110.916824
686.4,1000,1112.987267
85.4,1000,1114.923582
-130.0,1000,1116.923494
435.2,1000,1118.880989
332.8,1000,1120.797758
681.4,1000,1124.785863
809.0,1000,1126.812791
688.8,1000,1128.856273
803.6,1000,1130.892643
704.2,1000,1132.860383
105.6,1000,1134.841039
193.6,1000,1136.77399
701.0,1000,1138.758785
26.4,1000,1142.592259
-77.4,1000,1144.475959
44.2,1000,1146.394186
116.2,1000,1148.324778
-20.0,1000,1150.238288
227.0,1000,1152.206933
50.2,1000,1154.081603
696.2,1000,1156.072229
427.6,1000,1159.90379
19.8,1000,1161.859352
178.4,1000,1163.853122
278.0,1000,1165.791456
801.4,1000,1167.811421
228.6,1000,1169.818807
113.4,1000,1171.738451
84.2,1000,1173.769872
-46.2,1000,1178.358634
331.0,1000,1180.363191
62.4,1000,1182.297569
136.4,1000,1184.388114
262.8,1000,1186.603006
121.0,1000,1188.954703
62.4,1000,1191.181056
91.8,1000,1193.172798
802.0,1000,1197.586276
48.8,1000,1199.673773
801.4,1000,1201.844471
210.4,1000,1203.846093
823.0,1000,1206.004992
103.2,1000,1207.961388
-19.6,1000,1209.988591
109.0,1000,1212.06467
182.4,1000,1216.107577
-15.4,1000,1218.254175
-95.8,1000,1220.253368
37.0,1000,1222.218815
17.4,1000,1224.065507
-46.8,1000,1226.111177
127.6,1000,1228.148749
805.6,1000,1230.192972
110.4,1000,1234.175353
812.0,1000,1236.168708
799.6,1000,1238.187128
493.8,1000,1240.675781
147.8,1000,1242.616926
208.0,1000,1245.112746
155.4,1000,1247.176836
22.6,1000,1249.492036
820.8,1000,1254.336472
127.2,1000,1256.874191
-44.8,1000,1259.233106
848.4,1000,1261.376724
677.2,1000,1263.524767
143.8,1000,1265.821532
57.4,1000,1267.971391
141.4,1000,1270.500754
805.8,1000,1275.434463
-10.0,1000,1277.660633
264.8,1000,1279.722009
-84.2,1000,1281.879305
319.2,1000,1284.085439
687.8,1000,1286.728983
128.2,1000,1288.987093
360.4,1000,1291.070046
148.8,1000,1296.169849
684.0,1000,1298.445136
225.8,1000,1300.672486
685.0,1000,1302.950764
691.4,1000,1305.354084
797.8,1000,1307.556574
803.0,1000,1309.661189
800.8,1000,1311.785667
796.6,1000,1316.140326
683.4,1000,1318.387974
63.6,1000,1320.516449
226.6,1000,1322.574885
148.4,1000,1324.65221
686.8,1000,1326.758715
-58.4,1000,1328.780309
668.4,1000,1330.819213
792.8,1000,1334.968334
678.2,1000,1337.143595
797.2,1000,1339.451041
251.4,1000,1341.783882
73.4,1000,1343.903131
193.4,1000,1346.034953
187.6,1000,1348.138648
436.6,1000,1350.164212
